ccaa,centil_hijo_loess
Cataluna,54.53267772895142
Aragon,53.611168123268975
La Rioja,52.26429740390724
Comunidad de Madrid,51.525951316842
Islas Baleares,51.43514630712429
Castilla y León,48.55616356993866
Castilla la Mancha,48.269473740692064
Cantabria,47.294486836461516
Galicia,45.65694734548401
Asturias,44.836450964893515
Comunidad Valenciana,44.26266339103828
Murcia,43.83130800296368
Extremadura,40.21112005717551
Islas Canarias,40.17135646220216
Andalucía,39.04138445927376
"Navarra, Comunidad Foral de",38.50000000000000
País Vasco,37.80000000000000
Ceuta,35.20000000000000
Melilla,34.90000000000000
